questionText,topic,intent,role,scope,keywords
직원으로서 필요한 덕목이 무엇이라고 생각하나요?,직무 핵심 역량,자기관리,ALL,ALL,"필요, 덕목"
입사 후 회사와 맞지 않는다면 어떻게 하실 건가요?,회사/제품 이해,문제해결,ALL,ALL,"입사 후, 맞지 않음"
당신은 조직에서 어떤 유형의 사람을 싫어하나요?,협업/커뮤니케이션,문제해결,ALL,ALL,"조직, 어떤, 유형, 사람, 싫어함"
"어울리기 힘들었던 사람과 공동의 이익을 만들 수 있었던 경험이 있다면, 그 경험에 대해 말해주세요.",협업/커뮤니케이션,문제해결,ALL,ALL,"어울리기 힘든, 사람, 공동의 이익, 경험"
남이 하기 싫어하는 일을 한 경험이 있나요?,협업/커뮤니케이션,문제해결,ALL,ALL,"하기 싫은, 일, 경험"
대인관계에서 가장 중요하게 생각하는 것은 무엇인가요?,협업/커뮤니케이션,문제해결,ALL,리더,"대인관계, 가장, 중요, 생각"
"봉사활동을 특별히 많이 했는데, 기업의 사회 환원 활동에 대한 본인의 생각은 어떠하나요?",경험/행동,성과/기여,ALL,ALL,"봉사활동, 기업, 사회 환원 활동, 생각"
한 달에 책을 몇 권 정도 읽나요?,경험/행동,기타,ALL,ALL,"한 달, 책"
공익과 사익 중 무엇을 추구해야 한다고 생각하나요?,기타,선택 기준,ALL,ALL,"공익, 사익, 무엇, 추구"
"평소에 결정할 때 과감하게 하는 편입니까, 신중하게 하는 편인가요?",기타,선택 기준,ALL,ALL,"결정, 과감함, 신중함"
만약 당신이 일할 때 로비나 뒷거래가 일어난다면 어떻게 할 것인가요?,경험/행동,문제해결,ALL,주니어,"로비, 뒷거래, 부정, 어떻게"
"우리 회사에 지원했다가 떨어진 이력이 있는데, 그 때는 왜 떨어진 것 같으며, 다시 지원한 이유는 무엇인가요?",회사/제품 이해,문제해결,ALL,ALL,"떨어진 이력, 이유, 다시 지원"
우리 회사에 떨어진다면 어떻게 할 생각인가요?,회사/제품 이해,문제해결,ALL,ALL,"떨어진다면, 어떻게, 생각"
본인의 오늘 면접에 떨어진다면 그 이유가 무엇이 될 것 같나요?,회사/제품 이해,문제해결,ALL,ALL,"면접, 떨어지는, 이유"
다른 지원자에 비해 스펙이 부족한 것 같은데 어떻게 생각하나요?,직무 핵심 역량,자기관리,ALL,ALL,"다른, 스펙, 부족"
스펙이 굉장히 좋은데 왜 이 일을 하려고 하나요?,회사/제품 이해,기타,ALL,ALL,"스펙, 굉장, 지원계기"
해외 경험이 많은데 경비를 어떻게 조달했나요?,경험/행동,자기관리,ALL,ALL,"해외, 경비 조달"
"업무에 도움이 될 만한 자격증이 없는데, 업무 하는데 지장이 있지 않을까요?",직무 핵심 역량,문제해결,ALL,ALL,"업무, 도움, 자격증, 지장"
기존 직원들보다 나이가 많은데 어울릴 수 있나요?,협업/커뮤니케이션,문제해결,ALL,ALL,"기존, 나이, 어울림"
동기들보다 급여 처우가 안 좋다는 것을 알게 된다면 어떻게 대처하실 건가요?,경험/행동,문제해결,ALL,ALL,"동기, 급여 처우, 안 좋음, 대처"
우리 회사 매장에 다녀온 소감이나 개선해야 할 점을 말해보세요.,회사/제품 이해,기타,ALL,ALL,"매장, 소감, 개선"
우리 회사의 이미지에 대해 이야기해주세요.,회사/제품 이해,기타,ALL,ALL,"우리 회사, 이미지"
본인의 차별화된 강점이 있나요?,직무 핵심 역량,자기관리,ALL,ALL,"차별화, 강점"
학업 이외에 시간이나 노력을 열정적으로 투자해 본 경험을 무엇인가요,경험/행동,자기관리,ALL,ALL,"학업, 이외, 시간, 노력, 열정적, 투자, 경험"
전 회사에서 진행했던 프로젝트의 아키텍터를 설명해 보세요.,경험/행동,성과/기여,DEVOPS,ALL,"전 회사, 진행, 프로젝트, 아키텍터, 설명"
AWS 기반 인프라 서비스의 구성 요소들에 대해 설명해 보세요.,직무 핵심 역량,기타,DEVOPS,ALL,"AWS, 인프라, 서비스, 구성, 설명"
실제로 게임을 해킹해본 적이 있나요?,경험/행동,성과/기여,GAME,ALL,"실제, 게임, 해킹"
운영체제 커널 분석을 수행해 본 적이 있나요?,경험/행동,성과/기여,DEVOPS,ALL,"운영체제, 커널, 분석, 수행"
자신이 제출한 포트폴리오를 설명해 보세요.,경험/행동,성과/기여,ALL,ALL,"제출, 포트폴리오, 설명"
마케팅 부서에서 계속 내용이 바뀌면 어떻게 대처할 것인가요?,직무 핵심 역량,문제해결,DEVOPS,ALL,"마케팅, 내용, 계속, 바뀜, 대처"
기존에 종사하던 사업군과 우리 회사의 비즈니스 환경이 많이 다른데 어떻게 적응하고 극복할 생각인가요?,회사/제품 이해,문제해결,ALL,ALL,"기존, 종사, 사업군, 우리 회사, 비즈니스, 환경, 적응, 극복, 생각"
최근 모바일 게임 시장에 대해 어떻게 생각하나요?,직무 핵심 역량,기타,GAME,ALL,"최근, 모바일, 시장, 게임"
"중국에서 잘 되고 있는 모바일 게임은 무엇이 있으며, 왜 성공했는지 설명해 보세요.",직무 핵심 역량,기타,GAME,ALL,"중국, 모바일, 게임, 왜, 성공"
본인이 사용할 줄 아는 언어들의 차이점은 무엇인가요?,직무 핵심 역량,성과/기여,ALL,ALL,"사용, 언어, 차이점"
프로세스와 스레드의 차이점은 무엇인가요?,직무 핵심 역량,기타,DEVOPS,ALL,"프로세스, 스레드, 차이점"
각각 작업물에 대해서는 시간이 얼마나 소요되었나요?,경험/행동,성과/기여,ALL,ALL,"작업물, 시간, 소요"
일상에서 UX를 경험한 적이 있나요?,경험/행동,기타,DEVOPS,ALL,"일상, UX, 경험"
우리 업무에 관해 태국 시장에 대해 설명해보세요.,회사/제품 이해,기타,ALL,ALL,"태국, 시장, 설명"
실습은 어디서 하였고 학교에서 배운 것의 차이는 무엇이었나요?,경험/행동,성과/기여,ALL,ALL,"실습, 어디서, 학교, 배운 것, 차이"
영화관 부가사업 매출 확대방안을 제시해보세요.,직무 핵심 역량,문제해결,ALL,ALL,"영화관, 부가사업, 매출, 확대, 방안, 제시"
우리 회사가 하고 있는 해외 사업에 대해 알고 있나요?,회사/제품 이해,기타,ALL,ALL,"해외 사업, 인지"
본인이 느낀 에너지 공기업의 기업문화의 장점과 단점을 말해보세요.,경험/행동,기타,ALL,ALL,"에너지 공기업, 기업문화, 장점, 단점"
임직원의 자녀 가산점을 노조와 구직자 입장에서 각각 설명해보세요.,직무 핵심 역량,기타,ALL,ALL,"임직원, 자녀, 가산점, 노조, 구직자, 입장, 설명"
단단하게 자신의 연구 분야를 설명하고 자신의 우리 회사에 어떻게 기여할 수 있는지에 대해 설명해보세요.,경험/행동,성과/기여,ALL,ALL,"연구 분야, 설명, 어떻게 기여"
장기적으로 볼 때 가격의 결정 요인이 되는 것은 무엇인가요?,직무 핵심 역량,기타,ALL,ALL,"장기적, 가격, 결정, 요인, 무엇"
